INPUT                             STACK                                                                                                                                                                                                                                                                             ACTION
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                            SHIFT 56
('char', 'char')                  [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                   REDUCE 59
('char', 'char')                  [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                               REDUCE 53
('char', 'char')                  [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                          SHIFT 15
('IDENTIFIER', 'IDENTIFIER')      [15, 'char', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                              REDUCE 38
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                            SHIFT 57
('IDENTIFIER', 'LITERAL_CHAR')    [57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                   SHIFT 51
(';', ';')                        [51, 'IDENTIFIER', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                 REDUCE 45
(';', ';')                        [40, 'varName', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                    REDUCE 47
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                            SHIFT 56
('char', 'char')                  [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                   REDUCE 59
('char', 'char')                  [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                               REDUCE 53
('char', 'char')                  [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                          SHIFT 15
('IDENTIFIER', 'IDENTIFIER')      [15, 'char', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                              REDUCE 38
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                            SHIFT 57
('null', 'null')                  [57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                   SHIFT 50
(';', ';')                        [50, 'null', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                       REDUCE 26
(';', ';')                        [39, 'constant', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                   REDUCE 46
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                            SHIFT 56
('array', 'array')                [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                   REDUCE 59
('array', 'array')                [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                               REDUCE 53
('array', 'array')                [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                          SHIFT 22
('<', '<')                        [22, 'array', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                             SHIFT 54
('intijur', 'intijur')            [54, '<', 22, 'array', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                    SHIFT 93
('>', '>')                        [93, 'intijur', 54, '<', 22, 'array', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                     REDUCE 44
('>', '>')                        [89, 'elementType', 54, '<', 22, 'array', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                 SHIFT 111
('IDENTIFIER', 'IDENTIFIER')      [111, '>', 89, 'elementType', 54, '<', 22, 'array', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                       REDUCE 40
('IDENTIFIER', 'IDENTIFIER')      [16, 'arrayType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                         REDUCE 39
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                           SHIFT 28
(';', ';')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                         REDUCE 45
(';', ';')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                            REDUCE 60
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                            SHIFT 56
('let', 'let')                    [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                   REDUCE 59
('let', 'let')                    [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                               REDUCE 53
('let', 'let')                    [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                          SHIFT 17
('IDENTIFIER', 'IDENTIFIER')      [17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                               SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                             REDUCE 45
('=', '=')                        [29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                SHIFT 60
('[', '[')                        [60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                       SHIFT 38
('IDENTIFIER', 'LITERAL_INT')     [38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                              SHIFT 51
(',', ',')                        [51, 'IDENTIFIER', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                            REDUCE 45
(',', ',')                        [40, 'varName', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                               REDUCE 47
(',', ',')                        [37, 'term', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                  REDUCE 80
(',', ',')                        [84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                            SHIFT 108
('IDENTIFIER', 'LITERAL_INT')     [108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                  SHIFT 51
(',', ',')                        [51, 'IDENTIFIER', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                REDUCE 45
(',', ',')                        [40, 'varName', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                   REDUCE 47
(',', ',')                        [37, 'term', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                      REDUCE 80
(',', ',')                        [125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                               SHIFT 108
('IDENTIFIER', 'LITERAL_INT')     [108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                     SHIFT 51
(']', ']')                        [51, 'IDENTIFIER', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']   REDUCE 45
(']', ']')                        [40, 'varName', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']      REDUCE 47
(']', ']')                        [37, 'term', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']         REDUCE 80
(']', ']')                        [125, 'expression', 108, ',', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']  REDUCE 84
(']', ']')                        [140, 'commaExpr', 125, 'expression', 108, ',', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']             REDUCE 83
(']', ']')                        [107, 'commaExpr', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                          SHIFT 124
(';', ';')                        [124, ']', 107, 'commaExpr', 84, 'expression', 38, '[', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                REDUCE 82
(';', ';')                        [99, 'arrayExpression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                SHIFT 118
('let', 'let')                    [118, ';', 99, 'arrayExpression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                      REDUCE 66
('let', 'let')                    [6, 'letStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                       REDUCE 54
('let', 'let')                    [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                          SHIFT 17
('IDENTIFIER', 'IDENTIFIER')      [17, 'let', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                               SHIFT 28
