INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
('LITERAL_INT', '2')      [69, 'arithmeticOperator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                      REDUCE 18
('LITERAL_INT', '2')      [67, 'operator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                SHIFT 45
(';', ';')                [45, 'LITERAL_INT', 67, 'operator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                             REDUCE 21
(';', ';')                [39, 'constant', 67, 'operator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                REDUCE 46
(';', ';')                [37, 'term', 67, 'operator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                    REDUCE 80
(';', ';')                [104, 'expression', 67, 'operator', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                             REDUCE 78
(';', ';')                [98, 'expression', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                          SHIFT 117
('let', 'let')            [117, ';', 98, 'expression', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                REDUCE 65
('let', 'let')            [6, 'letStatement', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                            REDUCE 54
('let', 'let')            [134, 'statement', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                             REDUCE 90
('let', 'let')            [171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                            SHIFT 17
('IDENTIFIER', 'b')       [17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                 SHIFT 28
('=', '=')                [28, 'IDENTIFIER', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                               REDUCE 45
('=', '=')                [29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                  SHIFT 60
('stonks', 'stonks')      [60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                         SHIFT 52
(';', ';')                [52, 'stonks', 60, '=', 29, 'varName', 17, 'let', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                           REDUCE 27
