+,-,*,/,%,>,<,>=,<=,==,!=,||,&&,IDENTIFIER,LITERAL_INT,LITERAL_FLOAT,LITERAL_STRING,LITERAL_CHAR,null,stonks,not_stonks,[,],",",intijur,flote,bulen,strin,char,array,(,),!,;,=,let,if,{,},else,whil,coll,retun,funkshun,$,program,funcOrStatement,arithmeticOperator,relationalOperator,logicalOperator,operator,functionName,constant,booleanConstant,arrayConstant,commaConst,dataType,arrayType,elementType,varName,term,statement,declarationStatement,declare,letStatement,ifStatement,whileStatement,callStatement,returnStatement,expression,arrayExpression,commaExpr,functionDefinition,statements,parameterList,commaDataID,functionCall,commaTerm
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,r2,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,r3,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s34,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,55.0,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s56,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s58,ee,ee,ee,ee,ee,ee,ee,e0,ee,r60,s57,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,r45,ee,r45,ee,ee,ee,ee,ee,ee,ee,e0,ee,r45,r45,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s59,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,ee,s60,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,61.0,ee,ee,ee,ee,ee,ee,42.0,ee
ee,s44,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,s51,s45,s46,s48,s49,s50,s52,s53,ee,ee,ee,ee,ee,ee,ee,ee,ee,s41,e0,s43,ee,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,33.0,39.0,47.0,ee,ee,ee,ee,ee,40.0,37.0,ee,ee,ee,ee,ee,ee,ee,ee,62.0,ee,ee,ee,ee,ee,ee,42.0,ee
ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,e0,ee,s63,ee,ee,ee,ee,e1,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee,ee
